Pick,Team,Player,Position,College
1,Jacksonville Jaguars,"Ikem ""Ickey"" Ekwonu",OT,N.C. State
2,Detroit Lions,Aidan Hutchinson,Edge,Michigan
3,Houston Texans,"Ahmad ""Sauce"" Gardner",CB,Cincinnati
4,New York Jets,Travon Walker,Edge,Georgia
5,New York Giants,Evan Neal,OT,Alabama
6,Carolina Panthers,Kenny Pickett,QB,Pittsburgh
7,New York Giants,Kayvon Thibodeaux,Edge,Oregon
8,Atlanta Falcons,Garrett Wilson,WR,Ohio State
9,Seattle Seahawks,Derek Stingley Jr.,CB,LSU
10,New York Jets,Drake London,WR,USC
11,Washington Commanders,Kyle Hamilton,S,Notre Dame
12,Minnesota Vikings,Jameson Williams,WR,Alabama
13,Houston Texans,Jermaine Johnson II,Edge,Florida State
14,Baltimore Ravens,Jordan Davis,DT,Georgia
15,Philadelphia Eagles,Chris Olave,WR,Ohio State
16,New Orleans Saints,Trevor Penning,OT,Northern Iowa
17,Los Angeles Chargers,Trent McDuffie,CB,Washington
18,Philadelphia Eagles,Devonte Wyatt,DT,Georgia
19,New Orleans Saints,Treylon Burks,WR,Arkansas
20,Pittsburgh Steelers,Malik Willis,QB,Liberty
21,New England Patriots,Devin Lloyd,LB,Utah
22,Green Bay Packers,Bernhard Raimann,OT,Central Michigan
23,Arizona Cardinals,George Karlaftis,Edge,Purdue
24,Dallas Cowboys,Zion Johnson,OG,Boston College
25,Buffalo Bills,Andrew Booth Jr.,CB,Clemson
26,Tennessee Titans,Tyler Smith,OT,Tulsa
27,Tampa Bay Buccaneers,Kenyon Green,OG,Texas A&M
28,Green Bay Packers,Quay Walker,LB,Georgia
29,Kansas City Chiefs,Jahan Dotson,WR,Penn State
30,Kansas City Chiefs,Boye Mafe,Edge,Minnesota
31,Cincinnati Bengals,Logan Hall,DE,Houston
32,Detroit Lions,Arnold Ebiketie,Edge,Penn State
