Pick,Team,Player,Pos,College
1,Tennessee Titans,Abdul Carter,Edge,Penn State
2,Cleveland Browns,Cam Ward,QB,Miami
3,New York Giants,Shedeur Sanders,QB,Colorado
4,New England Patriots,Will Campbell,OT,LSU
5,Jacksonville Jaguars,Travis Hunter,WR/CB,Colorado
6,Las Vegas Raiders,Tetairoa McMillan,WR,Arizona
7,New York Jets,Mykel Williams,Edge,Georgia
8,Carolina Panthers,Mason Graham,DT,Michigan
9,New Orleans Saints,Jalon Walker,Edge,Georgia
10,Chicago Bears,Kelvin Banks Jr.,OT/OG,Texas
11,San Francisco 49ers,Mike Green,Edge,Marshall
12,Dallas Cowboys,Armand Membou,OT/OG,Missouri
13,Miami Dolphins,Tyler Booker,OG,Alabama
14,Indianapolis Colts,Tyler Warren,TE,Penn State
15,Atlanta Falcons,Will Johnson,CB,Michigan
16,Arizona Cardinals,Walter Nolen,DT,Mississippi
17,Cincinnati Bengals,Kenneth Grant,DT,Michigan
18,Seattle Seahawks,Josh Simmons,OT,Ohio State
19,Tampa Bay Buccaneers,Emeka Egbuka,WR,Ohio State
20,Denver Broncos,Ashton Jeanty,RB,Boise State
21,Pittsburgh Steelers,Omarion Hampton,RB,North Carolina
22,Los Angeles Chargers,Colston Loveland,TE,Michigan
23,Green Bay Packers,Shemar Stewart,DL,Texas A&M
24,Minnesota Vikings,Jahdae Barron,CB,Texas
25,Houston Texans,Luther Burden III,WR,Missouri
26,Los Angeles Rams,Josh Conerly Jr.,OT,Oregon
27,Baltimore Ravens,Malaki Starks,S,Georgia
28,Detroit Lions,Donovan Jackson,OG,Ohio State
29,Washington Commanders,Matthew Golden,WR,Texas
30,Buffalo Bills,Donovan Ezeiruaku,Edge,Boston College
31,Kansas City Chiefs,Derrick Harmon,DT,Oregon
32,Philadelphia Eagles,James Pearce Jr.,Edge,Tennessee
