Pick,Team,Player,Pos,College
1,Tennessee Titans,Cam Ward,QB,Miami
2,Cleveland Browns,Shedeur Sanders,QB,Colorado
3,New York Giants,Travis Hunter,CB/WR,Colorado
4,New England Patriots,Abdul Carter,DE,Penn State
5,Jacksonville Jaguars,Mason Graham,DT,Michigan
6,Las Vegas Raiders,Ashton Jeanty,RB,Boise State
7,New York Jets,Tyler Warren,TE,Penn State
8,Carolina Panthers,Jalon Walker,DE,Georgia
9,New Orleans Saints,Will Campbell,OT/G,LSU
10,Chicago Bears,Omarion Hampton,RB,North Carolina
11,San Francisco 49ers,Jahdae Barron,CB,Texas
12,Dallas Cowboys,Armand Membou,OT/G,Missouri
13,Miami Dolphins,Kelvin Banks Jr,OT,Texas
14,Indianapolis Colts,Tyler Booker,G,Alabama
15,Atlanta Falcons,Mike Green,DE,Marshall
16,Arizona Cardinals,Walter Nolen,DT,Ole Miss
17,Cincinnati Bengals,Shemar Stewart,DE,Texas A&M
18,Seattle Seahawks,Grey Zabel,G,North Dakota State
19,Tampa Bay Buccaneers,Jihaad Cambell,LB,Alabama
20,Denver Broncos,TreVeyon Henderson,RB,Ohio State
21,Pittsburgh Steelers,Jaxson Dart,QB,Ole Miss
22,Los Angeles Chargers,Colston Loveland,TE,Michigan
23,Green Bay Packers,Will Johnson,CB,Michigan
24,Minnesota Vikings,Nick Emmanwori,S,South Carolina
25,Houston Texans,Josh Simmons,OT,Ohio State
26,Los Angeles Rams,Tetairoa McMillan,WR,Arizona
27,Baltimore Ravens,Mykel Williams,DE,Georgia
28,Detroit Lions,Donovan Jackson ,G,Ohio State
29,Washington Commanders,Matthew Golden,WR,Texas
30,Buffalo Bills,Kenneth Grant,DT,Michigan
31,Kansas City Chiefs,Derrick Harmon,DT,Oregon
32,Philadelphia Eagles,Donovan Ezeiruaku,DE,Boston College
