Pick,Team,Player,Pos,College
1,Jacksonville Jaguars,Evan Neal,OT,Alabama
2,Detroit Lions,Aidan Hutchinson,Edge,Michigan
3,Houston Texans,Kyle Hamilton,S,Notre Dame
4,New York Jets,Ickey Ekwonu,OT,N.C. State
5,New York Giants,Travon Walker,Edge,Georgia
6,Carolina Panthers,Trevor Penning,OT,Northern Iowa
7,New York Giants (via Bears),Drake London,WR,USC
8,Atlanta Falcons,Kayvon Thibodeaux,Edge,Oregon
9,Denver Broncos,Jermaine Johnson II,Edge,Florida State
10,New York Jets (via Seahawks),Sauce Gardner,CB,Cincinnati
11,Washington Commanders,Kenyon Green,G,Texas A&M
12,Minnesota Vikings,Trent McDuffie,CB,Washington
13,Cleveland Browns,George Karlaftis,Edge,Purdue
14,Baltimore Ravens,Derek Stingley Jr.,CB,LSU
15,Philadelphia Eagles (via Dolphins),David Ojabo,Edge,Michigan
16,Philadelphia Eagles (via Colts),Devonte Wyatt,DT,Georgia
17,Los Angeles Chargers,Chris Olave,WR,Ohio State
18,New Orleans Saints,Kenny Pickett,QB,Pittsburgh
19,Philadelphia Eagles,Garrett Wilson,WR,Ohio State
20,Pittsburgh Steelers,Malik Willis,QB,Liberty
21,New England Patriots,Devin Lloyd,LB,Utah
22,Las Vegas Raiders,Charles Cross,OT,Mississippi State
23,Arizona Cardinals,Kyler Gordon,CB,Washington
24,Dallas Cowboys,Nakobe Dean,LB,Georgia
25,Buffalo Bills,Treylon Burks,WR,Arkansas
26,Tennessee Titans,Tyler Linderbaum,C,Iowa
27,Tampa Bay Buccaneers,Jameson Williams,WR,Alabama
28,Green Bay Packers,Boye Mafe,Edge,Minnesota
29,Miami Dolphins (via 49ers),Tyler Smith,OT,Tulsa
30,Kansas City Chiefs,Dax Hill,S,Michigan
31,Cincinnati Bengals,Bernhard Raimann,OT,Central Michigan
32,Detroit Lions (via Rams),Jordan Davis,DT,Georgia
