Pick,Team,Player,Pos,College
1,Chicago Bears,Caleb Williams,QB,USC
2,Washington Commanders,Jayden Daniels,QB,LSU
3,New England Patriots,Drake Maye,QB,UNC
4,Arizona Cardinals,Marvin Harrison Jr.,WR,Ohio State
5,Los Angeles Chargers,JC Latham,OT,Alabama
6,New York Giants,Malik Nabers,WR,LSU
7,Tennessee Titans,Joe Alt,OT,Notre Dame
8,Atlanta Falcons,Dallas Turner,EDGE,Alabama
9,Chicago Bears,Olumuyiwa Fashanu,OT,Penn State
10,New York Jets,Rome Odunze,WR,Washington
11,Minnesota Vikings,J.J. McCarthy,QB,Michigan
12,Philadelphia Eagles (from DEN),Taliese Fuaga,OT,Oregon State
13,Las Vegas Raiders,Michael Penix Jr.,QB,Washington
14,New Orleans Saints,Troy Fautanu,OT,Washington
15,Indianapolis Colts,Brock Bowers,TE,Georgia
16,Seattle Seahawks,Terrion Arnold,CB,Alabama
17,Jacksonville Jaguars,Quinyon Mitchell,CB,Toledo
18,Cincinnati Bengals,Byron Murphy II,DT,Texas
19,Washington Commanders (from LAR),Amarius Mims,OT,Georgia
20,Pittsburgh Steelers,Tyler Guyton,OT,Oklahoma
21,Miami Dolphins,Jer'Zhan Newton,DT,Illinois
22,Denver Broncos (from PHI),Bo Nix,QB,Oregon
23,Minnesota Vikings,Chop Robinson,EDGE,Penn State
24,Dallas Cowboys,Graham Barton,C,Duke
25,Green Bay Packers,Cooper DeJean,CB,Iowa
26,Tampa Bay Buccaneers,Jared Verse,EDGE,Florida State
27,Arizona Cardinals,Laiatu Latu,EDGE,UCLA
28,Buffalo Bills,Brian Thomas Jr.,WR,LSU
29,Detroit Lions,Kool-Aid McKinstry,CB,Alabama
30,Baltimore Ravens,Nate Wiggins,CB,Clemson
31,San Francisco 49ers,Xavier Worthy,WR,Texas
32,Kansas City Chiefs,Adonai Mitchell,WR,Texas
