Pick,Team,Player,Pos,College
1,Jacksonville Jaguars,Trevor Lawrence,QB,Clemson
2,New York Jets,Zach Wilson,QB,BYU
3,San Francisco 49ers (from HOU via MIA) ,Mac Jones,QB,Alabama
4,Atlanta Falcons,Kyle Pitts,TE,Florida
5,Cincinnati Bengals,Ja'Marr Chase,WR,LSU
6,Miami Dolphins (from PHI),DeVonta Smith,WR,Alabama
7,New England Patriots (from DET),Trey Lance,QB,North Dakota State
8,Carolina Panthers,Penei Sewell,OT,Oregon
9,Denver Broncos,Justin Fields,QB,Ohio State
10,Dallas Cowboys,Patrick Surtain II,CB,Alabama
11,New York Giants,Jaylen Waddle,WR,Alabama
12,Philadelphia Eagles (from SF via MIA),Jaycee Horn,CB,South Carolina
13,Los Angeles Chargers,Rashawn Slater,OT,Northwestern
14,Minnesota Vikings,Christian Darrisaw,OT,Virginia Tech
15,Detroit Lions (from NE),Micah Parsons,LB,Penn State
16,New York Jets (from SEA via ARI),Alijah Vera-Tucker,G,USC
17,Las Vegas Raiders,Jeremiah Owusu-Koramoah,LB,Notre Dame
18,Miami Dolphins,Kwity Paye,DE,Michigan
19,Washington Football Team,Trevon Moehrig,S,TCU
20,Chicago Bears,Elijah Moore,WR,Ole Miss
21,Indianapolis Colts,Jaelan Phillips,DE,Miami
22,Tennessee Titans,Greg Newsome II,CB,Northwestern
23,Arizona Cardinals (from NYJ),Najee Harris,RB,Alabama
24,Pittsburgh Steelers,Travis Etienne,RB,Clemson
25,Jacksonville Jaguars (from LAR),Kadarius Toney,WR,Florida
26,Cleveland Browns,Jamin Davis,LB,Kentucky
27,Baltimore Ravens,Zaven Collins,LB,Tulsa
28,New Orleans Saints,Caleb Farley,CB,Virginia Tech
29,Green Bay Packers,Rashod Bateman,WR,Minnesota
30,Buffalo Bills,Tyson Campbell,CB,Georgia
31,Los Angeles Chargers (from KC via BAL),Asante Samuel Jr.,CB,Florida State
32,Tampa Bay Buccaneers,Christian Barmore,DT,Alabama
