Pick,Team,Player,Pos,College
1,Houston Texans (via CHI),Bryce Young,QB,Alabama
2,Indianapolis Colts (via CHI),C.J. Stroud,QB,Ohio State
3,Arizona Cardinals,Will Anderson Jr.,OLB,Alabama
4,Chicago Bears (via IND),Jalen Carter,DT,Georgia
5,Carolina Panthers (via SEA/DEN),Will Levis,QB,Kentucky
6,Detroit Lions (via LAR),Christian Gonzalez,CB,Oregon
7,Las Vegas Raiders,Devon Witherspoon,CB,Illinois
8,Atlanta Falcons,Will McDonald IV,DE,Iowa State
9,Seattle Seahawks (via CAR),Anthony Richardson,QB,Florida
10,Philadelphia Eagles (via NO),Peter Skoronski,OT,Northwestern
11,Tennessee Titans,Paris Johnson Jr.,OT,Ohio State
12,Houston Texans (via CLE),Tyree Wilson,DE,Texas Tech
13,New York Jets,Anton Harrison,OT,Oklahoma
14,New England Patriots,Jaxon Smith-Njigba,WR,Ohio State
15,Green Bay Packers,Michael Mayer,TE,Notre Dame
16,Washington Commanders,Darnell Wright,OT,Tennessee
17,Pittsburgh Steelers,Joey Porter Jr.,CB,Penn State
18,Detroit Lions,Drew Sanders,LB,Arkansas
19,Tampa Bay Buccaneers,Emmanuel Forbes,CB,Mississippi State
20,Seattle Seahawks,Myles Murphy,DE,Clemson
21,Los Angeles Chargers,Jordan Addison,WR,USC
22,Baltimore Ravens,Zay Flowers,WR,Boston College
23,Minnesota Vikings,Deonte Banks,CB,Maryland
24,Jacksonville Jaguars,Lukas Van Ness,DL,Iowa
25,New York Giants,Quentin Johnston,WR,TCU
26,Dallas Cowboys,Dalton Kincaid,TE,Utah
27,Buffalo Bills,Bijan Robinson,RB,Texas
28,Cincinnati Bengals,Luke Musgrave,TE,Oregon State
29,New Orleans Saints (via DEN/MIA/SF),Darnell Washington,TE,Georgia
30,Philadelphia Eagles,Calijah Kancey,DT,Pitt
31,Kansas City Chiefs,Broderick Jones,OT,Georgia
32,Kansas City Chiefs,Troy Franklin,WR,Oregon
