Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28
1,1,JAX,Trevor Lawrence,QB,21,2024,0,1,4,39,39,60,1288,2034,13815,69,46,231,1083,14,0,-5,0,4,,,Clemson,College Stats
1,2,NYJ,Zach Wilson,QB,22,2023,0,0,3,13,13,34,566,993,6293,23,25,93,498,5,1,2,1,1,,,BYU,College Stats
1,3,SFO,Trey Lance,QB,21,2024,0,0,0,5,4,12,81,143,1063,5,4,65,276,1,0,0,0,1,,,North Dakota St.,College Stats
1,4,ATL,Kyle Pitts,TE,20,2024,0,1,4,21,21,61,0,0,0,0,0,1,-4,0,196,2651,10,3,,,Florida,College Stats
1,5,CIN,Ja'Marr Chase,WR,21,2024,1,4,4,48,48,62,1,1,-7,0,0,18,55,0,395,5425,46,6,,,LSU,College Stats
1,6,MIA,Jaylen Waddle,WR,22,2024,0,0,4,34,34,62,0,0,0,0,0,12,53,1,309,4129,20,4,,,Alabama,College Stats
1,7,DET,Penei Sewell,OL,20,2024,2,3,4,52,52,67,0,0,0,0,0,0,0,0,1,9,0,,,,Oregon,College Stats
1,8,CAR,Jaycee Horn,DB,21,2024,0,1,2,13,13,37,0,0,0,0,0,0,0,0,0,0,0,109,5,2.0,South Carolina,College Stats
1,9,DEN,Patrick Surtain II,DB,21,2024,2,3,4,41,41,66,0,0,0,0,0,0,0,0,0,0,0,184,11,,Alabama,College Stats
1,10,PHI,DeVonta Smith,WR,22,2024,0,0,4,40,40,63,0,0,0,0,0,1,1,0,308,4011,27,1,,,Alabama,College Stats
1,11,CHI,Justin Fields,QB,22,2024,0,0,3,39,34,50,684,1119,7780,45,31,418,2509,19,0,0,0,,,,Ohio St.,College Stats
1,12,DAL,Micah Parsons,LB,22,2024,2,4,3,56,56,63,0,0,0,0,0,0,0,0,0,0,0,172,,52.5,Penn St.,College Stats
1,13,LAC,Rashawn Slater,OL,22,2024,0,2,3,32,32,51,0,0,0,0,0,0,0,0,0,0,0,,,,Northwestern,College Stats
1,14,NYJ,Alijah Vera-Tucker,OL,22,2024,0,0,2,14,14,43,0,0,0,0,0,0,0,0,0,0,0,,,,USC,College Stats
1,15,NWE,Mac Jones,QB,23,2024,0,1,3,27,24,52,1035,1570,10590,54,44,145,419,2,0,0,0,1,,,Alabama,College Stats
1,16,ARI,Zaven Collins,LB,22,2024,0,0,3,21,21,67,0,0,0,0,0,0,0,0,0,0,0,136,2,10.5,Tulsa,College Stats
1,17,LVR,Alex Leatherwood,OL,22,2022,0,0,1,8,8,21,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats
1,18,MIA,Jaelan Phillips,DL,22,2024,0,0,1,16,16,46,0,0,0,0,0,0,0,0,0,0,0,90,1,23.0,Miami (FL),College Stats
1,19,WAS,Jamin Davis,LB,22,2024,0,0,2,16,16,54,0,0,0,0,0,0,0,0,0,0,0,178,1,8.0,Kentucky,College Stats
1,20,NYG,Kadarius Toney,WR,22,2024,0,0,0,7,3,35,1,4,19,0,0,23,115,1,82,760,3,1,,,Florida,College Stats
1,21,IND,Kwity Paye,DL,22,2024,0,0,4,26,26,58,0,0,0,0,0,0,0,0,0,0,0,108,,26.5,Michigan,College Stats
1,22,TEN,Caleb Farley,DB,22,2024,0,0,0,2,1,21,0,0,0,0,0,0,0,0,0,0,0,24,,,Virginia Tech,College Stats
1,23,MIN,Christian Darrisaw,OL,22,2024,0,0,3,22,22,48,0,0,0,0,0,0,0,0,0,0,0,1,,,Virginia Tech,College Stats
1,24,PIT,Najee Harris,RB,23,2024,0,1,4,29,29,68,1,1,4,0,0,1097,4312,28,180,1149,6,4,,,Alabama,College Stats
1,25,JAX,Travis Etienne,RB,22,2024,0,0,3,24,24,49,0,0,0,0,0,637,2691,18,132,1046,1,,,,Clemson,College Stats
1,26,CLE,Greg Newsome II,DB,21,2024,0,0,3,14,14,54,0,0,0,0,0,0,0,0,0,0,0,122,3,1.0,Northwestern,College Stats
1,27,BAL,Rashod Bateman,WR,21,2024,0,0,2,18,18,51,0,0,0,0,0,1,18,0,138,1923,13,,,,Minnesota,College Stats
1,28,NOR,Payton Turner,DE,22,2024,0,0,0,3,3,31,0,0,0,0,0,0,0,0,0,0,0,30,,5.0,Houston,College Stats
1,29,GNB,Eric Stokes,DB,22,2024,0,0,3,10,10,45,0,0,0,0,0,0,0,0,0,0,0,98,1,,Georgia,College Stats
1,30,BUF,Gregory Rousseau,DL,21,2024,0,0,4,32,32,62,0,0,0,0,0,0,0,0,0,0,0,135,1,25.0,Miami (FL),College Stats
1,31,BAL,Odafe Oweh,DE,22,2024,0,0,1,14,14,62,0,0,0,0,0,0,0,0,0,0,0,98,,23.0,Penn St.,College Stats
1,32,TAM,Joe Tryon-Shoyinka,OLB,22,2024,0,0,3,22,22,66,0,0,0,0,0,0,0,0,0,0,0,87,,15.0,Washington,College Stats
2,33,JAX,Tyson Campbell,DB,21,2024,0,0,4,19,19,55,0,0,0,0,0,0,0,0,0,0,0,187,6,,Georgia,College Stats
2,34,NYJ,Elijah Moore,WR,21,2024,0,0,3,14,7,61,0,0,0,0,0,20,71,1,200,2162,9,4,,,Mississippi,College Stats
2,35,DEN,Javonte Williams,RB,21,2024,0,0,2,20,20,54,0,0,0,0,0,606,2394,11,158,966,5,1,,,North Carolina,College Stats
2,36,MIA,Jevon Holland,S,21,2024,0,0,4,21,21,60,0,0,0,0,0,0,0,0,0,0,0,219,5,5.0,Oregon,College Stats
2,37,PHI,Landon Dickerson,OL,22,2024,0,3,4,31,31,63,0,0,0,0,0,0,0,0,0,0,0,1,,,Alabama,College Stats
2,38,NWE,Christian Barmore,DL,22,2024,0,0,0,10,10,48,0,0,0,0,0,0,0,0,0,0,0,80,,13.5,Alabama,College Stats
2,39,CHI,Teven Jenkins,OL,23,2024,0,0,3,15,15,45,0,0,0,0,0,0,0,0,0,0,0,2,,,Oklahoma St.,College Stats
2,40,ATL,Richie Grant,DB,23,2024,0,0,2,13,13,67,0,0,0,0,0,0,0,0,0,0,0,177,3,3.0,Central Florida,College Stats
2,41,DET,Levi Onwuzurike,DL,23,2024,0,0,1,7,7,42,0,0,0,0,0,0,0,0,0,0,0,35,,3.5,Washington,College Stats
2,42,MIA,Liam Eichenberg,OL,23,2024,0,0,4,23,23,60,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats
2,43,LVR,Tre'von Moehrig,S,22,2024,0,0,4,21,21,66,0,0,0,0,0,0,0,0,0,0,0,202,6,3.0,TCU,College Stats
2,44,DAL,Kelvin Joseph,DB,21,2024,0,0,0,2,2,33,0,0,0,0,0,0,0,0,0,0,0,34,,,Kentucky,College Stats
2,45,JAX,Walker Little,T,22,2024,0,0,1,11,11,55,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,College Stats
2,46,CIN,Jackson Carman,T,21,2024,0,0,0,5,4,30,0,0,0,0,0,0,0,0,0,0,0,,,,Clemson,College Stats
2,47,LAC,Asante Samuel Jr.,DB,21,2024,0,0,3,14,14,50,0,0,0,0,0,0,0,0,0,0,0,148,6,,Florida St.,College Stats
2,48,SFO,Aaron Banks,OL,24,2024,0,0,3,20,20,53,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats
2,49,ARI,Rondale Moore,WR,21,2023,0,0,0,12,12,39,0,0,0,0,0,52,249,1,135,1201,3,1,,,Purdue,College Stats
2,50,NYG,Azeez Ojulari,OLB,21,2024,0,0,1,16,16,46,0,0,0,0,0,0,0,0,0,0,0,59,,22.0,Georgia,College Stats
2,51,WAS,Samuel Cosmi,OL,22,2024,0,0,2,23,23,57,0,0,0,0,0,0,0,0,0,0,0,,,,Texas,College Stats
2,52,CLE,Jeremiah Owusu-Koramoah,LB,21,2024,0,1,3,22,22,49,0,0,0,0,0,0,0,0,0,0,0,205,3,8.0,Notre Dame,College Stats
2,53,TEN,Dillon Radunz,T,23,2024,0,0,2,11,11,54,0,0,0,0,0,0,0,0,0,0,0,1,,,North Dakota St.,
2,54,IND,Dayo Odeyingbo,DL,21,2024,0,0,1,12,12,61,0,0,0,0,0,0,0,0,0,0,0,58,,16.5,Vanderbilt,College Stats
2,55,PIT,Pat Freiermuth,TE,22,2024,0,0,2,18,18,61,0,0,0,0,0,0,0,0,220,2190,18,2,,,Penn St.,College Stats
2,56,SEA,D'Wayne Eskridge,WR,24,2024,0,0,0,2,2,30,0,0,0,0,0,8,74,0,20,166,1,1,,,Western Michigan,College Stats
2,57,LAR,Tutu Atwell,WR,21,2024,0,0,1,12,12,54,0,1,0,0,0,16,72,1,99,1343,4,,,,Louisville,College Stats
2,58,KAN,Nick Bolton,LB,21,2024,0,0,3,23,23,57,0,0,0,0,0,0,0,0,0,0,0,289,4,5.0,Missouri,College Stats
2,59,CAR,Terrace Marshall Jr.,WR,21,2024,0,0,1,6,6,43,0,0,0,0,0,0,0,0,67,808,1,1,,,LSU,College Stats
2,60,NOR,Pete Werner,LB,22,2024,0,0,3,23,23,56,0,0,0,0,0,0,0,0,0,0,0,206,1,0.5,Ohio St.,College Stats
2,61,BUF,Boogie Basham,DL,23,2024,0,0,0,4,3,40,0,0,0,0,0,0,0,0,0,0,0,26,1,4.5,Wake Forest,College Stats
2,62,GNB,Josh Myers,C,23,2024,0,0,3,27,27,56,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats
2,63,KAN,Creed Humphrey,OL,22,2024,1,3,4,40,40,68,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma,College Stats
2,64,TAM,Kyle Trask,QB,23,2024,0,0,0,0,0,7,4,11,28,0,0,6,-5,0,0,0,0,,,,Florida,College Stats
3,65,JAX,Andre Cisco,DB,21,2024,0,0,3,18,18,63,0,0,0,0,0,0,0,0,0,0,0,154,8,1.5,Syracuse,College Stats
3,66,MIN,Kellen Mond,QB,22,2021,0,0,0,0,0,1,2,3,5,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats
3,67,HOU,Davis Mills,QB,22,2024,0,0,2,15,15,38,593,948,6167,35,25,55,172,2,0,0,0,2,,,Stanford,College Stats
3,68,ATL,Jalen Mayfield,OL,21,2023,0,0,1,7,7,19,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats
3,69,CIN,Joseph Ossai,LB,21,2024,0,0,0,6,6,47,0,0,0,0,0,0,0,0,0,0,0,38,,9.5,Texas,College Stats
