Pick,Team,Player,Pos,College
1,Jacksonville Jaguars,Aidan Hutchinson,DE,Michigan
2,Detroit Lions,Ahmad Gardner,CB,Cincinnati
3,Houston Texans,Kyle Hamilton,S,Notre Dame
4,New York Jets,Garrett Wilson,WR,Ohio State
5,New York Giants,Evan Neal,OT,Alabama
6,Carolina Panthers,Kenny Pickett,QB,Pittsburgh
7,New York Giants (from CHI),Kayvon Thibodeaux,DE,Oregon
8,Atlanta Falcons,Drake London,WR,USC
9,Seattle Seahawks (from DEN),Ikem Ekwonu,OT,NC State
10,New York Jets (from SEA),Jermaine Johnson II,DE,Florida State
11,Washington Commanders,Chris Olave,WR,Ohio State
12,Minnesota Vikings,Travon Walker,DE,Georgia
13,Houston Texans (from CLE),Charles Cross,OT,Mississippi State
14,Baltimore Ravens,Tyler Linderbaum,C,Iowa
15,Philadelphia Eagles (from MIA),Devin Lloyd,LB,Utah
16,Philadelphia Eagles (from IND),Kenyon Green,G/C,Texas A&M
17,Los Angeles Chargers,Nakobe Dean,LB,Georgia
18,New Orleans Saints ,Trevor Penning,OT,Northern Iowa
19,Philadelphia Eagles,Trent McDuffie,CB,Washington
20,Pittsburgh Steelers,Malik Willis,QB,Liberty
21,New England Patriots,Andrew Booth Jr,CB,Clemson
22,Green Bay Packers (from LV),Jahan Dotson,WR,Penn State
23,Arizona Cardinals,David Ojabo,OLB,Michigan
24,Dallas Cowboys,Derek Stingley Jr,CB,LSU
25,Buffalo Bills,Kyler Gordon,CB,Washington
26,Tennessee Titans,Treylon Burks,WR,Arkansas
27,Tampa Bay Buccaneers,Jordan Davis,DT,Georgia
28,Green Bay Packers,Zion Johnson,G/C,Boston College
29,Kansas City Chiefs (from SF via MIA),Jameson Williams,WR,Alabama
30,Kansas City Chiefs,Arnold Ebiketie,DE,Penn State
31,Cincinnati Bengals,Roger McCreary,CB,Auburn
32,Detroit Lions (from LAR),Matt Corral,QB,Ole Miss
